region_4,region_4,exchange_1,parameter,value
68GR,87SE,biomassTransport,capaExcResi,0
73EE,87SE,biomassTransport,capaExcResi,0
74FI,87SE,biomassTransport,capaExcResi,0
77LT,87SE,biomassTransport,capaExcResi,0
79NO,87SE,biomassTransport,capaExcResi,0
81NO,87SE,biomassTransport,capaExcResi,0
82NO,87SE,biomassTransport,capaExcResi,0
83NO,87SE,biomassTransport,capaExcResi,0
84NO,87SE,biomassTransport,capaExcResi,0
89SE,87SE,biomassTransport,capaExcResi,0
90UK,87SE,biomassTransport,capaExcResi,0
92UK,87SE,biomassTransport,capaExcResi,0
93UK,87SE,biomassTransport,capaExcResi,0
94UK,87SE,biomassTransport,capaExcResi,0
95UK,87SE,biomassTransport,capaExcResi,0
55IT,87SE,biomassTransport,capaExcResi,0
57SI,87SE,biomassTransport,capaExcResi,0
67MK,87SE,biomassTransport,capaExcResi,0
85NO,87SE,biomassTransport,capaExcResi,0
88SE,87SE,biomassTransport,capaExcResi,0
98IT,87SE,biomassTransport,capaExcResi,0
01ES,88SE,biomassTransport,capaExcResi,0
02ES,88SE,biomassTransport,capaExcResi,0
03ES,88SE,biomassTransport,capaExcResi,0
04ES,88SE,biomassTransport,capaExcResi,0
05ES,88SE,biomassTransport,capaExcResi,0
06ES,88SE,biomassTransport,capaExcResi,0
07ES,88SE,biomassTransport,capaExcResi,0
08ES,88SE,biomassTransport,capaExcResi,0
09ES,88SE,biomassTransport,capaExcResi,0
10ES,88SE,biomassTransport,capaExcResi,0
12PT,88SE,biomassTransport,capaExcResi,0
14FR,88SE,biomassTransport,capaExcResi,0
15FR,88SE,biomassTransport,capaExcResi,0
16FR,88SE,biomassTransport,capaExcResi,0
17FR,88SE,biomassTransport,capaExcResi,0
18FR,88SE,biomassTransport,capaExcResi,0
19FR,88SE,biomassTransport,capaExcResi,0
20FR,88SE,biomassTransport,capaExcResi,0
21FR,88SE,biomassTransport,capaExcResi,0
22FR,88SE,biomassTransport,capaExcResi,0
23FR,88SE,biomassTransport,capaExcResi,0
24FR,88SE,biomassTransport,capaExcResi,0
25FR,88SE,biomassTransport,capaExcResi,0
26FR,88SE,biomassTransport,capaExcResi,0
27FR,88SE,biomassTransport,capaExcResi,0
28BE,88SE,biomassTransport,capaExcResi,0
29LU,88SE,biomassTransport,capaExcResi,0
30NL,88SE,biomassTransport,capaExcResi,0
31DE,88SE,biomassTransport,capaExcResi,0
32DE,88SE,biomassTransport,capaExcResi,0
33DE,88SE,biomassTransport,capaExcResi,0
34DE,88SE,biomassTransport,capaExcResi,0
35DE,88SE,biomassTransport,capaExcResi,0
36DE,88SE,biomassTransport,capaExcResi,0
37DE,88SE,biomassTransport,capaExcResi,0
39CZ,88SE,biomassTransport,capaExcResi,0
40CZ,88SE,biomassTransport,capaExcResi,0
41PL,88SE,biomassTransport,capaExcResi,0
42PL,88SE,biomassTransport,capaExcResi,0
43PL,88SE,biomassTransport,capaExcResi,0
44PL,88SE,biomassTransport,capaExcResi,0
46SK,88SE,biomassTransport,capaExcResi,0
47CH,88SE,biomassTransport,capaExcResi,0
48CH,88SE,biomassTransport,capaExcResi,0
49AT,88SE,biomassTransport,capaExcResi,0
50AT,88SE,biomassTransport,capaExcResi,0
51AT,88SE,biomassTransport,capaExcResi,0
52IT,88SE,biomassTransport,capaExcResi,0
53IT,88SE,biomassTransport,capaExcResi,0
54IT,88SE,biomassTransport,capaExcResi,0
58HU,88SE,biomassTransport,capaExcResi,0
59RO,88SE,biomassTransport,capaExcResi,0
60RO,88SE,biomassTransport,capaExcResi,0
61RO,88SE,biomassTransport,capaExcResi,0
62HR,88SE,biomassTransport,capaExcResi,0
63BA,88SE,biomassTransport,capaExcResi,0
64ME,88SE,biomassTransport,capaExcResi,0
65RS,88SE,biomassTransport,capaExcResi,0
66BG,88SE,biomassTransport,capaExcResi,0
68GR,88SE,biomassTransport,capaExcResi,0
73EE,88SE,biomassTransport,capaExcResi,0
74FI,88SE,biomassTransport,capaExcResi,0
77LT,88SE,biomassTransport,capaExcResi,0
79NO,88SE,biomassTransport,capaExcResi,0
81NO,88SE,biomassTransport,capaExcResi,0
82NO,88SE,biomassTransport,capaExcResi,0
83NO,88SE,biomassTransport,capaExcResi,0
84NO,88SE,biomassTransport,capaExcResi,0
89SE,88SE,biomassTransport,capaExcResi,0
90UK,88SE,biomassTransport,capaExcResi,0
92UK,88SE,biomassTransport,capaExcResi,0
93UK,88SE,biomassTransport,capaExcResi,0
