timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0356,FR,s1980,electricity,dem,84.2543068764037
h0357,FR,s1980,electricity,dem,80.9181200632168
h0358,FR,s1980,electricity,dem,81.3088618214586
h0359,FR,s1980,electricity,dem,82.4054387445356
h0360,FR,s1980,electricity,dem,79.7236365467334
h0361,FR,s1980,electricity,dem,78.5048605440476
h0362,FR,s1980,electricity,dem,77.0154484561355
h0363,FR,s1980,electricity,dem,74.2591737308608
h0364,FR,s1980,electricity,dem,73.273508895696
h0365,FR,s1980,electricity,dem,75.1425363682234
h0366,FR,s1980,electricity,dem,79.4115858187729
h0367,FR,s1980,electricity,dem,83.8700913132784
h0368,FR,s1980,electricity,dem,85.8753110934982
h0369,FR,s1980,electricity,dem,87.0254209836081
h0370,FR,s1980,electricity,dem,87.2523165880036
h0371,FR,s1980,electricity,dem,87.3308055989927
h0372,FR,s1980,electricity,dem,87.3936627418498
h0373,FR,s1980,electricity,dem,85.6642451594322
h0374,FR,s1980,electricity,dem,83.5883385660256
h0375,FR,s1980,electricity,dem,81.601497906685
h0376,FR,s1980,electricity,dem,81.0410143902015
h0377,FR,s1980,electricity,dem,83.3888275770147
h0378,FR,s1980,electricity,dem,87.6594924121795
h0379,FR,s1980,electricity,dem,88.5699594451465
h0380,FR,s1980,electricity,dem,85.2673165880036
h0381,FR,s1980,electricity,dem,81.9311297748168
h0382,FR,s1980,electricity,dem,82.3218715330586
h0383,FR,s1980,electricity,dem,83.4184484561355
h0384,FR,s1980,electricity,dem,80.7366462583334
h0385,FR,s1980,electricity,dem,78.3295382773476
h0386,FR,s1980,electricity,dem,76.8401261894355
h0387,FR,s1980,electricity,dem,74.0838514641608
h0388,FR,s1980,electricity,dem,73.098186628996
h0389,FR,s1980,electricity,dem,74.9672141015234
h0390,FR,s1980,electricity,dem,79.2362635520729
h0391,FR,s1980,electricity,dem,83.6947690465784
h0392,FR,s1980,electricity,dem,85.6999888267982
h0393,FR,s1980,electricity,dem,86.8500987169081
h0394,FR,s1980,electricity,dem,87.0769943213036
h0395,FR,s1980,electricity,dem,87.1554833322927
h0396,FR,s1980,electricity,dem,87.2183404751498
h0397,FR,s1980,electricity,dem,85.4889228927322
h0398,FR,s1980,electricity,dem,83.4130162993256
h0399,FR,s1980,electricity,dem,81.426175639985
h0400,FR,s1980,electricity,dem,80.8656921235015
h0401,FR,s1980,electricity,dem,83.2135053103147
h0402,FR,s1980,electricity,dem,87.4841701454795
h0403,FR,s1980,electricity,dem,88.3946371784465
h0404,FR,s1980,electricity,dem,85.0919943213036
h0405,FR,s1980,electricity,dem,81.7558075081168
h0406,FR,s1980,electricity,dem,82.1465492663586
h0407,FR,s1980,electricity,dem,83.2431261894356
h0408,FR,s1980,electricity,dem,80.5613239916334
h0409,FR,s1980,electricity,dem,77.2913904688476
h0410,FR,s1980,electricity,dem,75.8019783809355
h0411,FR,s1980,electricity,dem,73.0457036556608
h0412,FR,s1980,electricity,dem,72.060038820496
h0413,FR,s1980,electricity,dem,73.9290662930234
h0414,FR,s1980,electricity,dem,78.1981157435729
h0415,FR,s1980,electricity,dem,82.6566212380784
h0416,FR,s1980,electricity,dem,84.6618410182982
h0417,FR,s1980,electricity,dem,85.8119509084081
h0418,FR,s1980,electricity,dem,86.0388465128036
h0419,FR,s1980,electricity,dem,86.1173355237927
h0420,FR,s1980,electricity,dem,86.1801926666498
h0421,FR,s1980,electricity,dem,84.4507750842322
h0422,FR,s1980,electricity,dem,82.3748684908256
h0423,FR,s1980,electricity,dem,80.388027831485
h0424,FR,s1980,electricity,dem,79.8275443150015
