timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0457,BE,s2016,electricity,dem,10.6385282646374
h0458,BE,s2016,electricity,dem,10.2755667261758
h0459,BE,s2016,electricity,dem,10.0634691987033
h0460,BE,s2016,electricity,dem,10.0456903525495
h0461,BE,s2016,electricity,dem,10.355912880022
h0462,BE,s2016,electricity,dem,11.1746972206813
h0463,BE,s2016,electricity,dem,11.8536312866154
h0464,BE,s2016,electricity,dem,12.2501615063956
h0465,BE,s2016,electricity,dem,12.5015777151868
h0466,BE,s2016,electricity,dem,12.6211326602418
h0467,BE,s2016,electricity,dem,12.734618923978
h0468,BE,s2016,electricity,dem,12.5669430998022
h0469,BE,s2016,electricity,dem,12.4742507921099
h0470,BE,s2016,electricity,dem,12.3180694734286
h0471,BE,s2016,electricity,dem,12.2709293635385
h0472,BE,s2016,electricity,dem,12.3240928250769
h0473,BE,s2016,electricity,dem,12.794048869033
h0474,BE,s2016,electricity,dem,13.0215735943077
h0475,BE,s2016,electricity,dem,12.6561106822198
h0476,BE,s2016,electricity,dem,12.1331436492527
h0477,BE,s2016,electricity,dem,11.6052823855165
h0478,BE,s2016,electricity,dem,11.7171175503516
h0479,BE,s2016,electricity,dem,11.6795653525495
h0480,BE,s2016,electricity,dem,11.1025172756264
h0481,BE,s2016,electricity,dem,10.5470812307374
h0482,BE,s2016,electricity,dem,10.1841196922758
h0483,BE,s2016,electricity,dem,9.9720221648033
h0484,BE,s2016,electricity,dem,9.95424331864945
h0485,BE,s2016,electricity,dem,10.264465846122
h0486,BE,s2016,electricity,dem,11.0832501867813
h0487,BE,s2016,electricity,dem,11.7621842527154
h0488,BE,s2016,electricity,dem,12.1587144724956
h0489,BE,s2016,electricity,dem,12.4101306812868
h0490,BE,s2016,electricity,dem,12.5296856263418
h0491,BE,s2016,electricity,dem,12.643171890078
h0492,BE,s2016,electricity,dem,12.4754960659022
h0493,BE,s2016,electricity,dem,12.3828037582099
h0494,BE,s2016,electricity,dem,12.2266224395286
h0495,BE,s2016,electricity,dem,12.1794823296385
h0496,BE,s2016,electricity,dem,12.2326457911769
h0497,BE,s2016,electricity,dem,12.702601835133
h0498,BE,s2016,electricity,dem,12.9301265604077
h0499,BE,s2016,electricity,dem,12.5646636483198
h0500,BE,s2016,electricity,dem,12.0416966153527
h0501,BE,s2016,electricity,dem,11.5138353516165
