timestep_2,region_4,technology_3,parameter,value,source
2040,02ES,gasBoilerSpaceStock,capaConvResi,0.26531,
2020,02ES,oilLiquidBoilerSpaceStock,capaConvResi,2.70518,
2025,02ES,oilLiquidBoilerSpaceStock,capaConvResi,1.56554,
2030,02ES,oilLiquidBoilerSpaceStock,capaConvResi,1.03774,
2035,02ES,oilLiquidBoilerSpaceStock,capaConvResi,0.62853,
2040,02ES,oilLiquidBoilerSpaceStock,capaConvResi,0.28262,
2020,02ES,resistiveHeatSpaceStock,capaConvResi,0.1345,
2025,02ES,resistiveHeatSpaceStock,capaConvResi,0.07784,
2030,02ES,resistiveHeatSpaceStock,capaConvResi,0.0516,
2035,02ES,resistiveHeatSpaceStock,capaConvResi,0.03126,
2040,02ES,resistiveHeatSpaceStock,capaConvResi,0.01406,
2020,02ES,coalBoilerSpaceStock,capaConvResi,0.05956,
2025,02ES,coalBoilerSpaceStock,capaConvResi,0.03447,
2030,02ES,coalBoilerSpaceStock,capaConvResi,0.02285,
2035,02ES,coalBoilerSpaceStock,capaConvResi,0.01384,
2040,02ES,coalBoilerSpaceStock,capaConvResi,0.00623,
2020,03ES,coalBoilerProHighStock,capaConvResi,0.06694,
2025,03ES,coalBoilerProHighStock,capaConvResi,0.05578,
2030,03ES,coalBoilerProHighStock,capaConvResi,0.04463,
2035,03ES,coalBoilerProHighStock,capaConvResi,0.03347,
2040,03ES,coalBoilerProHighStock,capaConvResi,0.02232,
2045,03ES,coalBoilerProHighStock,capaConvResi,0.01116,
2020,03ES,eBoilerProHigh,capaConvResi,0.02023,
2025,03ES,eBoilerProHigh,capaConvResi,0.01686,
2030,03ES,eBoilerProHigh,capaConvResi,0.01349,
2035,03ES,eBoilerProHigh,capaConvResi,0.01012,
2040,03ES,eBoilerProHigh,capaConvResi,0.00675,
2045,03ES,eBoilerProHigh,capaConvResi,0.00338,
2020,03ES,gasBoilerProHighStock,capaConvResi,0.30641,
2025,03ES,gasBoilerProHighStock,capaConvResi,0.25534,
2030,03ES,gasBoilerProHighStock,capaConvResi,0.20427,
2035,03ES,gasBoilerProHighStock,capaConvResi,0.15321,
2040,03ES,gasBoilerProHighStock,capaConvResi,0.10214,
2045,03ES,gasBoilerProHighStock,capaConvResi,0.05107,
2020,03ES,oilBoilerProHighStock,capaConvResi,0.0944,
2025,03ES,oilBoilerProHighStock,capaConvResi,0.07867,
2030,03ES,oilBoilerProHighStock,capaConvResi,0.06293,
2035,03ES,oilBoilerProHighStock,capaConvResi,0.0472,
2040,03ES,oilBoilerProHighStock,capaConvResi,0.03147,
2045,03ES,oilBoilerProHighStock,capaConvResi,0.01574,
2020,03ES,bioBoilerProLowStock,capaConvResi,0.10869,
2025,03ES,bioBoilerProLowStock,capaConvResi,0.09058,
2030,03ES,bioBoilerProLowStock,capaConvResi,0.07246,
2035,03ES,bioBoilerProLowStock,capaConvResi,0.05435,
2040,03ES,bioBoilerProLowStock,capaConvResi,0.03623,
2045,03ES,bioBoilerProLowStock,capaConvResi,0.01812,
2020,03ES,ccgtGasBackProLowStock,capaConvResi,0.00469,
2025,03ES,ccgtGasBackProLowStock,capaConvResi,0.00391,
2030,03ES,ccgtGasBackProLowStock,capaConvResi,0.00313,
2035,03ES,ccgtGasBackProLowStock,capaConvResi,0.00235,
2040,03ES,ccgtGasBackProLowStock,capaConvResi,0.00157,
2045,03ES,ccgtGasBackProLowStock,capaConvResi,0.00079,
2020,03ES,districtHeatPro,capaConvResi,0.00155,
2025,03ES,districtHeatPro,capaConvResi,0.00129,
2030,03ES,districtHeatPro,capaConvResi,0.00104,
2035,03ES,districtHeatPro,capaConvResi,0.00078,
2040,03ES,districtHeatPro,capaConvResi,0.00052,
2045,03ES,districtHeatPro,capaConvResi,0.00026,
2020,03ES,gasBoilerProLowStock,capaConvResi,0.05586,
2025,03ES,gasBoilerProLowStock,capaConvResi,0.04655,
2030,03ES,gasBoilerProLowStock,capaConvResi,0.03724,
2035,03ES,gasBoilerProLowStock,capaConvResi,0.02793,
2040,03ES,gasBoilerProLowStock,capaConvResi,0.01862,
2045,03ES,gasBoilerProLowStock,capaConvResi,0.00931,
2020,03ES,eBoilerProLow,capaConvResi,0.00354,
2025,03ES,eBoilerProLow,capaConvResi,0.00295,
2030,03ES,eBoilerProLow,capaConvResi,0.00236,
2035,03ES,eBoilerProLow,capaConvResi,0.00177,
2040,03ES,eBoilerProLow,capaConvResi,0.00118,
2045,03ES,eBoilerProLow,capaConvResi,0.00059,
2020,03ES,gasEngineProLowStock,capaConvResi,0.12854,
2025,03ES,gasEngineProLowStock,capaConvResi,0.10711,
2030,03ES,gasEngineProLowStock,capaConvResi,0.08569,
2035,03ES,gasEngineProLowStock,capaConvResi,0.06427,
2040,03ES,gasEngineProLowStock,capaConvResi,0.04285,
2045,03ES,gasEngineProLowStock,capaConvResi,0.02143,
2020,03ES,oilBoilerProLowStock,capaConvResi,0.01495,
2025,03ES,oilBoilerProLowStock,capaConvResi,0.01246,
