timestep_2,carrier_1,region_3,parameter,value,comment,source
2025,spaceHeat,04ES,capaDem,3.874,,
2025,industryHeat_high,05ES,capaDem,0.231,,
2025,industryHeat_low,05ES,capaDem,0.117,,
2025,industryHeat_medium,05ES,capaDem,0.268,,
2025,spaceHeat,05ES,capaDem,1.659,,
2025,industryHeat_high,06ES,capaDem,1.244,,
2025,industryHeat_low,06ES,capaDem,0.809,,
2025,industryHeat_medium,06ES,capaDem,1.95,,
2025,spaceHeat,06ES,capaDem,8.71,,
2025,industryHeat_high,07ES,capaDem,0.529,,
2025,industryHeat_low,07ES,capaDem,0.352,,
2025,industryHeat_medium,07ES,capaDem,0.788,,
2025,spaceHeat,07ES,capaDem,8.214,,
2025,industryHeat_high,08ES,capaDem,0.285,,
2025,industryHeat_low,08ES,capaDem,0.116,,
2025,industryHeat_medium,08ES,capaDem,0.237,,
2025,spaceHeat,08ES,capaDem,2.961,,
2025,industryHeat_high,09ES,capaDem,0.407,,
2025,industryHeat_low,09ES,capaDem,0.193,,
2025,industryHeat_medium,09ES,capaDem,0.38,,
2025,spaceHeat,09ES,capaDem,5.258,,
2025,industryHeat_high,10ES,capaDem,0.233,,
2025,industryHeat_low,10ES,capaDem,0.109,,
2025,industryHeat_medium,10ES,capaDem,0.218,,
2025,spaceHeat,10ES,capaDem,3.218,,
2025,industryHeat_high,11ES,capaDem,1.613,,
2025,industryHeat_low,11ES,capaDem,0.575,,
2025,industryHeat_medium,11ES,capaDem,1.334,,
2025,spaceHeat,11ES,capaDem,8.519,,
2025,industryHeat_high,12PT,capaDem,0.65,,
2025,industryHeat_low,12PT,capaDem,0.594,,
2025,industryHeat_medium,12PT,capaDem,1.243,,
2025,spaceHeat,12PT,capaDem,4.189,,
2025,industryHeat_high,13PT,capaDem,0.415,,
2025,industryHeat_low,13PT,capaDem,0.396,,
2025,industryHeat_medium,13PT,capaDem,0.657,,
2025,spaceHeat,13PT,capaDem,3.384,,
2025,industryHeat_high,14FR,capaDem,0.27,,
2025,industryHeat_low,14FR,capaDem,0.328,,
2025,industryHeat_medium,14FR,capaDem,0.433,,
2025,spaceHeat,14FR,capaDem,14.257,,
2025,industryHeat_high,15FR,capaDem,0.064,,
2025,industryHeat_low,15FR,capaDem,0.129,,
2025,industryHeat_medium,15FR,capaDem,0.153,,
2025,spaceHeat,15FR,capaDem,8.374,,
2025,industryHeat_high,16FR,capaDem,0.348,,
2025,industryHeat_low,16FR,capaDem,0.269,,
2025,industryHeat_medium,16FR,capaDem,0.348,,
2025,spaceHeat,16FR,capaDem,13.689,,
2025,industryHeat_high,17FR,capaDem,0.316,,
2025,industryHeat_low,17FR,capaDem,0.324,,
2025,industryHeat_medium,17FR,capaDem,0.408,,
2025,spaceHeat,17FR,capaDem,12.484,,
2025,industryHeat_high,18FR,capaDem,0.218,,
2025,industryHeat_low,18FR,capaDem,0.142,,
2025,industryHeat_medium,18FR,capaDem,0.2,,
2025,spaceHeat,18FR,capaDem,10.66,,
2025,industryHeat_high,19FR,capaDem,0.721,,
2025,industryHeat_low,19FR,capaDem,0.189,,
2025,industryHeat_medium,19FR,capaDem,0.34,,
2025,spaceHeat,19FR,capaDem,10.091,,
2025,industryHeat_high,20FR,capaDem,0.588,,
2025,industryHeat_low,20FR,capaDem,0.158,,
2025,industryHeat_medium,20FR,capaDem,0.277,,
2025,spaceHeat,20FR,capaDem,10.098,,
2025,industryHeat_high,21FR,capaDem,0.455,,
2025,industryHeat_low,21FR,capaDem,0.514,,
2025,industryHeat_medium,21FR,capaDem,0.587,,
2025,spaceHeat,21FR,capaDem,13.748,,
2025,industryHeat_high,22FR,capaDem,0.036,,
2025,industryHeat_low,22FR,capaDem,0.017,,
2025,industryHeat_medium,22FR,capaDem,0.026,,
2025,spaceHeat,22FR,capaDem,5.936,,
2025,industryHeat_high,23FR,capaDem,3.056,,
2025,industryHeat_low,23FR,capaDem,1.823,,
2025,industryHeat_medium,23FR,capaDem,2.719,,
2025,spaceHeat,23FR,capaDem,33.509,,
2025,industryHeat_high,24FR,capaDem,0.221,,
2025,industryHeat_low,24FR,capaDem,0.106,,
2025,industryHeat_medium,24FR,capaDem,0.134,,
2025,spaceHeat,24FR,capaDem,5.827,,
2025,industryHeat_high,25FR,capaDem,0.419,,
2025,industryHeat_low,25FR,capaDem,0.32,,
2025,industryHeat_medium,25FR,capaDem,0.503,,
2025,spaceHeat,25FR,capaDem,16.081,,
2025,industryHeat_high,26FR,capaDem,0.737,,
2025,industryHeat_low,26FR,capaDem,0.355,,
2025,industryHeat_medium,26FR,capaDem,0.506,,
2025,spaceHeat,26FR,capaDem,21.831,,
2025,industryHeat_high,27FR,capaDem,0.128,,
2025,industryHeat_low,27FR,capaDem,0.078,,
2025,industryHeat_medium,27FR,capaDem,0.09,,
2025,spaceHeat,27FR,capaDem,2.605,,
2025,industryHeat_high,28BE,capaDem,3.381,,
2025,industryHeat_low,28BE,capaDem,2.014,,
2025,industryHeat_medium,28BE,capaDem,2.665,,
2025,spaceHeat,28BE,capaDem,43.578,,
2025,industryHeat_high,29LU,capaDem,0.243,,
2025,industryHeat_low,29LU,capaDem,0.096,,
