timestep_2,region_4,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
all,72DK,bevPsngRoadPub,capaConvResi,0.616114197,capaStInResi,0.616114197,capaStOutResi,0.616114197,capaStSizeResi,3.080570987
all,73EE,bevPsngRoadPub,capaConvResi,0.430104323,capaStInResi,0.430104323,capaStOutResi,0.430104323,capaStSizeResi,2.150521613
all,74FI,bevPsngRoadPub,capaConvResi,0.201282634,capaStInResi,0.201282634,capaStOutResi,0.201282634,capaStSizeResi,1.006413172
all,75FI,bevPsngRoadPub,capaConvResi,1.280837794,capaStInResi,1.280837794,capaStOutResi,1.280837794,capaStSizeResi,6.404188968
all,77LT,bevPsngRoadPub,capaConvResi,0.519809048,capaStInResi,0.519809048,capaStOutResi,0.519809048,capaStSizeResi,2.599045239
all,78LV,bevPsngRoadPub,capaConvResi,0.466449518,capaStInResi,0.466449518,capaStOutResi,0.466449518,capaStSizeResi,2.332247588
all,79NO,bevPsngRoadPub,capaConvResi,0.106838232,capaStInResi,0.106838232,capaStOutResi,0.106838232,capaStSizeResi,0.534191158
all,80NO,bevPsngRoadPub,capaConvResi,0.111088679,capaStInResi,0.111088679,capaStOutResi,0.111088679,capaStSizeResi,0.555443396
all,81NO,bevPsngRoadPub,capaConvResi,0.08793597,capaStInResi,0.08793597,capaStOutResi,0.08793597,capaStSizeResi,0.439679851
all,82NO,bevPsngRoadPub,capaConvResi,0.28954894,capaStInResi,0.28954894,capaStOutResi,0.28954894,capaStSizeResi,1.447744698
all,83NO,bevPsngRoadPub,capaConvResi,0.083626982,capaStInResi,0.083626982,capaStOutResi,0.083626982,capaStSizeResi,0.418134911
all,84NO,bevPsngRoadPub,capaConvResi,0.074655673,capaStInResi,0.074655673,capaStOutResi,0.074655673,capaStSizeResi,0.373278367
all,85NO,bevPsngRoadPub,capaConvResi,0.011346374,capaStInResi,0.011346374,capaStOutResi,0.011346374,capaStSizeResi,0.056731872
all,86SE,bevPsngRoadPub,capaConvResi,0.046393228,capaStInResi,0.046393228,capaStOutResi,0.046393228,capaStSizeResi,0.231966141
all,87SE,bevPsngRoadPub,capaConvResi,0.16235121,capaStInResi,0.16235121,capaStOutResi,0.16235121,capaStSizeResi,0.811756051
all,88SE,bevPsngRoadPub,capaConvResi,1.0561432,capaStInResi,1.0561432,capaStOutResi,1.0561432,capaStSizeResi,5.280716001
all,89SE,bevPsngRoadPub,capaConvResi,0.313801371,capaStInResi,0.313801371,capaStOutResi,0.313801371,capaStSizeResi,1.569006853
all,90UK,bevPsngRoadPub,capaConvResi,1.986295021,capaStInResi,1.986295021,capaStOutResi,1.986295021,capaStSizeResi,9.931475103
all,91UK,bevPsngRoadPub,capaConvResi,0.673209856,capaStInResi,0.673209856,capaStOutResi,0.673209856,capaStSizeResi,3.366049282
all,92UK,bevPsngRoadPub,capaConvResi,2.65583147,capaStInResi,2.65583147,capaStOutResi,2.65583147,capaStSizeResi,13.27915735
all,93UK,bevPsngRoadPub,capaConvResi,0.730581491,capaStInResi,0.730581491,capaStOutResi,0.730581491,capaStSizeResi,3.652907456
