timestep_3,region_4,carrier_1,parameter,value
d003,58HU,psngRoadPub,mustOut,0.6314836024999999
d004,58HU,psngRoadPub,mustOut,0.5037631413056586
d005,58HU,psngRoadPub,mustOut,0.5346822701459116
d006,58HU,psngRoadPub,mustOut,0.4682740456565975
d007,58HU,psngRoadPub,mustOut,0.5062205098433871
d008,58HU,psngRoadPub,mustOut,0.5444055773782557
d001,59RO,psngRoadPub,mustOut,0.5844037746496814
d002,59RO,psngRoadPub,mustOut,0.5230999582646564
d003,59RO,psngRoadPub,mustOut,0.6314836024999999
d004,59RO,psngRoadPub,mustOut,0.5037631413056586
d005,59RO,psngRoadPub,mustOut,0.5346822701459116
d006,59RO,psngRoadPub,mustOut,0.4682740456565975
d007,59RO,psngRoadPub,mustOut,0.5062205098433871
d008,59RO,psngRoadPub,mustOut,0.5444055773782557
d001,60RO,psngRoadPub,mustOut,0.5844037746496814
d002,60RO,psngRoadPub,mustOut,0.5230999582646564
d003,60RO,psngRoadPub,mustOut,0.6314836024999999
d004,60RO,psngRoadPub,mustOut,0.5037631413056586
d005,60RO,psngRoadPub,mustOut,0.5346822701459116
